,Score,Completed
Operations: Part 3,-1,False
Operations: Part 2,-1,False
Video: Order of Operations,-1,False
Operations: Part 5,-1,False
Simplifying Fractions: Part 2,-1,False
Basic Operations: Part 1,-1,False
?????,0,False
PickyUppy,-1,False
Order of Operations,-1,False
Portal: Chapter 1,-1,False
Basic Operations: Part 3,-1,False
Video: AddSubFractions,-1,False
Video: Number Groups,-1,False
Mid-Chapter 1 Quiz,30,True
Assignment 1.1,100,True
Assignment 1.2,75,True
Chapter 2 Test,0,False
Video: Fractions w/Hololive,-1,False
Sets and Properties of Numbers,-1,False
Basic Operations: Part 2,-1,False
Video: Order of Operations w/Hololive,-1,False
Video: AddUnlikeFractions,-1,False
Chapter 1 Test,0,False
Assignment 1.3,0,True
Assignment 2.1,0,False
End of Chapter 2 Quiz,0,False
Simplifying Fractions: Part 5,-1,False
Simplifying Fractions: Part 3,-1,False
Portal: Chapter 2,-1,False
Simplifying Fractions: Part 1,-1,False
360 Video Booth,-1,False
Operations: Part 1,-1,False
The Number Line,-1,False
Synced Video Booth,-1,False
Simplifying Fractions: Part 4,-1,False
Operations: Part 4,-1,False
End of Chapter 1 Quiz,0,False
Basic Operations: Part 4,-1,False
