asdf,Time in booth,Time taken to complete,Questions timed out,Score,Completed
?????,0,0,0,0,False

360 Video Booth,0

Assignment 1.1,39,19.53736,,66.66666,True

Assignment 1.2,0,0,,0,False

Assignment 1.3,0,0,,0,False

Assignment 2.1,0,0,,0,False

Basic Operations: Part 1,0

Basic Operations: Part 2,0

Basic Operations: Part 3,0

Basic Operations: Part 4,0

Chapter 1 Test,0,0,0,0,False

Chapter 2 Test,0,0,0,0,False

End of Chapter 1 Quiz,0,0,0,0,False

End of Chapter 2 Quiz,0,0,0,0,False

Mid-Chapter 1 Quiz,0,0,0,0,False

Operations: Part 1,0

Operations: Part 2,0

Operations: Part 3,0

Operations: Part 4,0

Operations: Part 5,0

Order of Operations,0

PickyUppy,0

Portal: Chapter 1,0

Portal: Chapter 2,0

Sets and Properties of Numbers,0

Simplifying Fractions: Part 1,0

Simplifying Fractions: Part 2,0

Simplifying Fractions: Part 3,0

Simplifying Fractions: Part 4,0

Simplifying Fractions: Part 5,0

Synced Video Booth,0

The Number Line,3

Video: AddSubFractions,0

Video: AddUnlikeFractions,0

Video: Fractions w/Hololive,0

Video: Number Groups,0

Video: Order of Operations,0

Video: Order of Operations w/Hololive,0


